OMRÅDE;CIVILSTAND;ALDER;TID;INDHOLD
København;Ugift;I alt;2020K1;412512
København;Ugift;0 år;2020K1;9921
København;Ugift;1 år;2020K1;8590
København;Ugift;2 år;2020K1;8044
København;Ugift;3 år;2020K1;7307
København;Ugift;4 år;2020K1;6607
København;Ugift;5 år;2020K1;6148
København;Ugift;6 år;2020K1;5773
København;Ugift;7 år;2020K1;5838
København;Ugift;8 år;2020K1;5769
København;Ugift;9 år;2020K1;5921
København;Ugift;10 år;2020K1;5681
København;Ugift;11 år;2020K1;5557
København;Ugift;12 år;2020K1;5314
København;Ugift;13 år;2020K1;5178
København;Ugift;14 år;2020K1;4799
København;Ugift;15 år;2020K1;4809
København;Ugift;16 år;2020K1;4740
København;Ugift;17 år;2020K1;4826
København;Ugift;18 år;2020K1;5017
København;Ugift;19 år;2020K1;5857
København;Ugift;20 år;2020K1;7762
København;Ugift;21 år;2020K1;11113
København;Ugift;22 år;2020K1;13979
København;Ugift;23 år;2020K1;15167
København;Ugift;24 år;2020K1;16620
København;Ugift;25 år;2020K1;17467
København;Ugift;26 år;2020K1;16834
København;Ugift;27 år;2020K1;16578
København;Ugift;28 år;2020K1;15601
København;Ugift;29 år;2020K1;14571
København;Ugift;30 år;2020K1;13000
København;Ugift;31 år;2020K1;11305
København;Ugift;32 år;2020K1;9503
København;Ugift;33 år;2020K1;8583
København;Ugift;34 år;2020K1;7528
København;Ugift;35 år;2020K1;6361
København;Ugift;36 år;2020K1;5684
København;Ugift;37 år;2020K1;5194
København;Ugift;38 år;2020K1;4694
København;Ugift;39 år;2020K1;4496
København;Ugift;40 år;2020K1;4249
København;Ugift;41 år;2020K1;3918
København;Ugift;42 år;2020K1;3473
København;Ugift;43 år;2020K1;3401
København;Ugift;44 år;2020K1;3495
København;Ugift;45 år;2020K1;3341
København;Ugift;46 år;2020K1;3033
København;Ugift;47 år;2020K1;2993
København;Ugift;48 år;2020K1;2635
København;Ugift;49 år;2020K1;2441
København;Ugift;50 år;2020K1;2282
København;Ugift;51 år;2020K1;2299
København;Ugift;52 år;2020K1;2343
København;Ugift;53 år;2020K1;2305
København;Ugift;54 år;2020K1;2125
København;Ugift;55 år;2020K1;2017
København;Ugift;56 år;2020K1;1907
København;Ugift;57 år;2020K1;1692
København;Ugift;58 år;2020K1;1530
København;Ugift;59 år;2020K1;1483
København;Ugift;60 år;2020K1;1345
København;Ugift;61 år;2020K1;1314
København;Ugift;62 år;2020K1;1187
København;Ugift;63 år;2020K1;1125
København;Ugift;64 år;2020K1;1030
København;Ugift;65 år;2020K1;959
København;Ugift;66 år;2020K1;956
København;Ugift;67 år;2020K1;845
København;Ugift;68 år;2020K1;861
København;Ugift;69 år;2020K1;760
København;Ugift;70 år;2020K1;624
København;Ugift;71 år;2020K1;623
København;Ugift;72 år;2020K1;587
København;Ugift;73 år;2020K1;520
København;Ugift;74 år;2020K1;488
København;Ugift;75 år;2020K1;401
København;Ugift;76 år;2020K1;335
København;Ugift;77 år;2020K1;283
København;Ugift;78 år;2020K1;192
København;Ugift;79 år;2020K1;200
København;Ugift;80 år;2020K1;194
København;Ugift;81 år;2020K1;177
København;Ugift;82 år;2020K1;136
København;Ugift;83 år;2020K1;94
København;Ugift;84 år;2020K1;87
København;Ugift;85 år;2020K1;73
København;Ugift;86 år;2020K1;56
København;Ugift;87 år;2020K1;61
København;Ugift;88 år;2020K1;58
København;Ugift;89 år;2020K1;40
København;Ugift;90 år;2020K1;34
København;Ugift;91 år;2020K1;37
København;Ugift;92 år;2020K1;33
København;Ugift;93 år;2020K1;19
København;Ugift;94 år;2020K1;23
København;Ugift;95 år;2020K1;15
København;Ugift;96 år;2020K1;11
København;Ugift;97 år;2020K1;11
København;Ugift;98 år;2020K1;11
København;Ugift;99 år;2020K1;6
København;Ugift;100 år;2020K1;0
København;Ugift;101 år;2020K1;2
København;Ugift;102 år;2020K1;1
København;Ugift;103 år;2020K1;0
København;Ugift;104 år;2020K1;0
København;Ugift;105 år;2020K1;0
København;Ugift;106 år;2020K1;0
København;Ugift;107 år;2020K1;0
København;Ugift;108 år;2020K1;0
København;Ugift;109 år;2020K1;0
København;Ugift;110 år;2020K1;0
København;Ugift;111 år;2020K1;0
København;Ugift;112 år;2020K1;0
København;Ugift;113 år;2020K1;0
København;Ugift;114 år;2020K1;0
København;Ugift;115 år;2020K1;0
København;Ugift;116 år;2020K1;0
København;Ugift;117 år;2020K1;0
