OMRÅDE;CIVILSTAND;TID;INDHOLD
København;Ugift;2008K1;309661
København;Ugift;2009K1;317126
København;Ugift;2010K1;325562
København;Ugift;2011K1;335339
København;Ugift;2012K1;343978
København;Ugift;2013K1;353507
København;Ugift;2014K1;362566
København;Ugift;2015K1;371642
København;Ugift;2016K1;381364
København;Ugift;2017K1;389741
København;Ugift;2018K1;398105
København;Ugift;2019K1;405616
København;Ugift;2020K1;412512
København;Gift/separeret;2008K1;128556
København;Gift/separeret;2009K1;130995
København;Gift/separeret;2010K1;133196
København;Gift/separeret;2011K1;135422
København;Gift/separeret;2012K1;136827
København;Gift/separeret;2013K1;138132
København;Gift/separeret;2014K1;138830
København;Gift/separeret;2015K1;139613
København;Gift/separeret;2016K1;140881
København;Gift/separeret;2017K1;143176
København;Gift/separeret;2018K1;145479
København;Gift/separeret;2019K1;147974
København;Gift/separeret;2020K1;150458
København;Enke/enkemand;2008K1;21555
København;Enke/enkemand;2009K1;20600
København;Enke/enkemand;2010K1;19761
København;Enke/enkemand;2011K1;18963
København;Enke/enkemand;2012K1;18201
København;Enke/enkemand;2013K1;17524
København;Enke/enkemand;2014K1;16918
København;Enke/enkemand;2015K1;16492
København;Enke/enkemand;2016K1;16037
København;Enke/enkemand;2017K1;15607
København;Enke/enkemand;2018K1;15238
København;Enke/enkemand;2019K1;14868
København;Enke/enkemand;2020K1;14630
København;Fraskilt;2008K1;50089
København;Fraskilt;2009K1;49853
København;Fraskilt;2010K1;49689
København;Fraskilt;2011K1;49818
København;Fraskilt;2012K1;50044
København;Fraskilt;2013K1;50277
København;Fraskilt;2014K1;51243
København;Fraskilt;2015K1;52437
København;Fraskilt;2016K1;53199
København;Fraskilt;2017K1;53957
København;Fraskilt;2018K1;54466
København;Fraskilt;2019K1;54946
København;Fraskilt;2020K1;54740
